time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/value_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/std,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/explained_variance,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
276,301.0,1157.5609,876544,3174,107,17042.71271362305,1060,0.004120362,0.04061279296875,0.924183189868927,8337.591796875,-0.0006882658293761778,0.2,0.001,0.36294883489608765,-5.359243601560593,,
276,301.0,1219.7529,884736,3202,108,18059.35025024414,1070,0.005414704,0.03916015625,0.9214937686920166,6940.31103515625,-0.0022031134154531173,0.2,0.001,0.3762921690940857,-5.351356902718544,,
276,301.0,1231.2365,892928,3229,109,18940.792733764647,1080,0.005391274,0.04058837890625,0.921874463558197,5318.32080078125,0.0006914027406310197,0.2,0.001,0.37089914083480835,-5.346620863676071,,
276,301.0,1233.6058,901120,3257,110,13507.153997802734,1090,0.0066729276,0.04891357421875,0.9201146364212036,3189.934326171875,-0.00048320327041437847,0.2,0.001,0.4624713063240051,-5.344497385621071,,
276,301.0,1152.7822,909312,3284,111,16934.696267700194,1100,0.00635509,0.05711669921875,0.9208973050117493,6083.64697265625,-0.0006676393808447756,0.2,0.001,0.38848036527633667,-5.340782049298286,,
276,301.0,1176.7197,917504,3312,112,13613.662832641601,1110,0.0062960815,0.05682373046875,0.9205338954925537,6298.544921875,0.00014576824760297312,0.2,0.001,0.5307718217372894,-5.342491912841797,,
277,301.0,1240.7488,925696,3339,113,16301.148431396485,1120,0.00668094,0.0403564453125,0.9208270311355591,7916.85888671875,-0.001216638433834305,0.2,0.001,0.4137597680091858,-5.342239493131638,,
277,301.0,1298.0894,933888,3367,114,26267.001599121093,1130,0.006254752,0.04873046875,0.9209718704223633,10529.41796875,-0.0014931967834854731,0.2,0.001,0.4262074828147888,-5.343183407187462,,
277,301.0,1373.328,942080,3394,115,18568.837768554688,1140,0.006250387,0.0495849609375,0.9198909401893616,7647.412109375,0.0012708316375210416,0.2,0.001,0.33200693130493164,-5.340664279460907,,
277,301.0,1321.5145,950272,3421,116,20048.372595214845,1150,0.005696169,0.04451904296875,0.9179965853691101,8306.4794921875,-0.0015027672234282363,0.2,0.001,0.4036095142364502,-5.334929093718529,,
