time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/std,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
114,312,1867776,9635.94,998.69,5972,0.2,-0.0009531522591714747,0.4785463809967041,3600,11570.6640625,0.0003,-1.9058274075388908,0.031512451171875,0.3905569016933441,0.0046807723,37139.70417480469,,
115,312,1884160,9119.691,956.9,6024,0.2,0.00044304162001935766,0.6621715426445007,3610,8843.126953125,0.0003,-1.9058955550193786,0.033056640625,0.3905735909938812,0.0053366474,31418.77685546875,,
116,312,1900544,9068.613,947.53,6076,0.2,-0.0004898435683571734,0.5892711579799652,3620,10721.244140625,0.0003,-1.9058300510048867,0.030120849609375,0.3905401825904846,0.0049813245,33547.87744140625,,
117,312,1916928,8807.126,923.88,6128,0.2,-0.0003579523618100211,0.6343674063682556,3630,9949.4033203125,0.0003,-1.9054808512330055,0.02591552734375,0.3905090391635895,0.0043373704,31117.580493164063,,
118,312,1933312,8608.664,913.04,6179,0.2,-0.000670458776585292,0.5518969893455505,3640,17263.6875,0.0003,-1.905158770084381,0.025286865234375,0.3904796540737152,0.0042452114,40780.58288574219,,
119,312,1949696,9015.076,942.03,6230,0.2,-0.0005102293536765501,0.5015649199485779,3650,13026.8408203125,0.0003,-1.9047327473759652,0.03336181640625,0.3904212713241577,0.0056293746,36836.68413085937,,
120,312,1966080,8496.483,910.59,6283,0.2,0.0003685791147290729,0.5857982635498047,3660,9843.0185546875,0.0003,-1.904169073700905,0.03155517578125,0.390371710062027,0.0048890393,30754.996667480467,,
121,312,1982464,8577.113,918.71,6335,0.2,-0.0002687059008167125,0.6294524669647217,3670,11134.6376953125,0.0003,-1.9034763500094414,0.030126953125,0.3902701139450073,0.0056167124,34063.28359375,,
122,312,1998848,8301.341,891.5,6386,0.2,-0.0006413457042071969,0.5280105471611023,3680,13026.9326171875,0.0003,-1.9027480602264404,0.02320556640625,0.3902442455291748,0.0043514343,40032.02102050781,,
123,312,2015232,8659.586,926.89,6439,0.2,-0.0006391733368218411,0.5604057013988495,3690,12592.271484375,0.0003,-1.902563139796257,0.0279052734375,0.39022761583328247,0.004294251,33047.01455078125,,
